[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3818577808.88678,12/31/2020,12:04 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,MLKS253,SAMPLE_MATERIAL
INFO,crystals in mother solution, glass tube,SAMPLE_COMMENT
INFO,1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.96,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3818580267.20288,1.79999589920044,0.0630254074931145,,,5,,,,23.14000017941,,,,,2.29351030895372E-5,6.75826138587142E-9,0.266419450068959,0.000186427816475088,7.64462583570658E-6,2.25263341495333E-9,7.64454319157017E-6,1.74662267566446E-9,3.55465915482738E-8,1.42255633667669E-9,3.00016031947721,63.0854339599609,12,757,1,3,0.0750217352149603,0.0111311363284414,0.0119853606447577,130.735931396484,1.79862987995148,1.80178642272949,0.0630254074931145,0.0630254074931145,,,2.46820759773254,0,1,,,,,,1,1,1,1.80059611797333,0,0,1.80001507885754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818580331.92265,1.79962921142578,0.0630254074931145,,,5,,,,23.14000017941,,,,,2.29623997394559E-5,5.58659051323651E-9,0.225818572289909,0.000179906138847773,7.65376286757374E-6,1.86210672715876E-9,7.65370342214078E-6,1.25419856947467E-9,3.01655260380299E-8,1.37638200062977E-9,3.00014517522346,83.1824951171875,12,998,1,3,0.0752662531836077,0.00993855244673087,0.00990842282772064,128.871780395508,1.79850351810455,1.80235385894775,0.0630254074931145,0.0630254074931145,,,2.46807146072388,0,1,,,,,,1,1,1,1.79980194568634,0,0,1.80000054457831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818580396.58484,1.79968822002411,0.0630254074931145,,,5,,,,23.14000017941,,,,,2.3019610348868E-5,7.31510280426416E-9,0.220188455105725,0.000233748267052286,7.67278895254084E-6,2.43823588378066E-9,7.67273229384857E-6,1.65229163051533E-9,2.94865590735958E-8,1.79302163753944E-9,3.00016206509174,109.726127624512,12,1316,1,3,0.0755727457658428,0.00895111075093725,0.00828713458031416,128.437591552734,1.79864144325256,1.80172324180603,0.0630254074931145,0.0630254074931145,,,2.46773815155029,0,1,,,,,,1,1,1,1.80016720294952,0,0,1.79997031083183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818580460.99787,1.79978650808334,0.0630254074931145,,,5,,,,23.14000017941,,,,,2.30487502301538E-5,6.00209339549414E-9,0.175793622319719,0.00016106095152755,7.68327375992714E-6,2.00079076868562E-9,7.6832375958875E-6,1.57284865853418E-9,2.35736107942599E-8,1.23665306266745E-9,2.99986059983529,144.4619140625,12,1733,1,3,0.0757476038298555,0.00824812321779036,0.00708115193992853,128.930435180664,1.79893863201141,1.80223119258881,0.0630254074931145,0.0630254074931145,,,2.46732640266418,0,1,,,,,,1,1,1,1.79984629154205,0,0,1.80000224895775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818580525.55982,1.79961574077606,0.0630254074931145,,,5,,,,23.14000017941,,,,,2.30428550992675E-5,5.79798396331541E-9,0.140669680984345,0.000191860425411766,7.68119841774881E-6,1.93272339965229E-9,7.68117526756145E-6,1.25061549463532E-9,1.88584683666871E-8,1.47356052612084E-9,2.99990364082026,190.73486328125,12,2288,1,3,0.0757584350035861,0.00799866681681711,0.00622052885591984,129.505630493164,1.79857754707336,1.80185556411743,0.0630254074931145,0.0630254074931145,,,2.46718311309814,0,1,,,,,,1,1,1,1.80001354217529,0,0,1.80000820803264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818580589.96115,1.79953396320343,0.0630254074931145,,,5,,,,23.14000017941,,,,,2.30103462826412E-5,5.91785232317815E-9,0.089682083037983,0.000159349566033932,7.66980829361208E-6,1.97253845166703E-9,7.6697988980983E-6,1.54882692874281E-9,1.20051443448169E-8,1.22149215638336E-9,3.00012013361608,251.044357299805,12,3012,1,3,0.0756329147847272,0.00824829001692242,0.00567184342071414,129.205963134766,1.79880309104919,1.80206120014191,0.0630254074931145,0.0630254074931145,,,2.46667623519897,0,1,,,,,,1,1,1,1.79986596107483,0,0,1.80000278495607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818580654.25517,1.79967474937439,0.0630254074931145,,,5,,,,23.14000017941,,,,,2.29335917295953E-5,7.99872583648855E-9,0.00298069894703668,0.000181515108539038,7.64485537584108E-6,2.66635522825877E-9,7.64485536549609E-6,2.27777601840912E-9,3.9770839235263E-10,1.3860687620833E-9,2.99987254200635,331.038146972656,12,3972,1,3,0.075303346719944,0.00903059620404781,0.00537249771878123,127.071807861328,1.79875481128693,1.80182230472565,0.0630254074931145,0.0630254074931145,,,2.46631574630737,0,1,,,,,,1,1,1,1.79999375343323,0,0,1.79998320057279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818580718.41733,1.79957556724548,0.0630254074931145,,,5,,,,23.14000017941,,,,,2.28933601905451E-5,8.5813045813453E-9,-0.114783925489698,0.000164018390338109,7.63121235230869E-6,2.86046945380831E-9,7.63119703860361E-6,2.57352958961001E-9,-1.52880357255806E-8,1.24869169436341E-9,2.99996371921417,436.940734863281,12,5243,1,3,0.0750038853269741,0.0104736805737536,0.00533731188625097,122.38444519043,1.79831051826477,1.80265176296234,0.0630254074931145,0.0630254074931145,,,2.46608471870422,0,1,,,,,,1,1,1,1.799973487854,0,0,1.80005469397893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818580782.59087,1.79962992668152,0.0630254074931145,,,5,,,,23.14000017941,,,,,2.29231881306445E-5,9.63433474286671E-9,-0.28427809311442,0.000287636583632156,7.64088888890053E-6,3.21137185932299E-9,7.64079483982733E-6,2.34515759197763E-9,-3.79107925480293E-8,2.1938881210402E-9,3.00006824650253,574.448547363281,12,6893,1,3,0.0747948288674604,0.0126581834725057,0.00549355475232005,114.831924438477,1.79700100421906,1.80364894866943,0.0630254074931145,0.0630254074931145,,,2.46500778198242,0,1,,,,,,1,1,1,1.80000948905945,0,0,1.80004464823102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3818580846.80453,1.7995782494545,0.0630254074931145,,,5,,,,23.14000017941,,,,,2.32897638409479E-5,1.3633907190384E-8,-0.801791051654957,0.000345396466910792,7.76319399930314E-6,4.544600246283E-9,7.7624338822055E-6,3.6780053086651E-9,-1.08633766409614E-7,2.66939475311293E-9,3.00002342374009,758.4951171875,12,9101,1,3,0.0755015786520706,0.0156526156019007,0.00601989030838013,103.908203125,1.79602134227753,1.80621516704559,0.0630254074931145,0.0630254074931145,,,2.46424055099487,0,1,,,,,,1,1,1,1.79990756511688,0,0,1.80005389735812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
